date,price,silver_price_lag_1,silver_price_lag_2,silver_price_lag_3,silver_price_lag_4,silver_price_lag_5,silver_MA7,silver_MA30,silver_volatility
1968-04-10,0.0289860239589275,0.0350470621791214,0.0433185966913861,0.0411437535653166,0.0304121505989731,0.0327296063890473,0.034812769945399655,0.0334141471762692,0.005443070397534731
1968-04-11,0.0246363377067883,0.0289860239589275,0.0350470621791214,0.0433185966913861,0.0411437535653166,0.0304121505989731,0.0337533615842229,0.03337611713253465,0.006656383846624669
1968-04-12,0.0254920136908157,0.0246363377067883,0.0289860239589275,0.0350470621791214,0.0433185966913861,0.0411437535653166,0.032719419770189814,0.03312297965392654,0.007366175172980968
1968-05-01,0.0315530519110096,0.0254920136908157,0.0246363377067883,0.0289860239589275,0.0350470621791214,0.0433185966913861,0.032882405671909316,0.03300175888952266,0.0073190868305594604
1968-05-02,0.0259555048488305,0.0315530519110096,0.0254920136908157,0.0246363377067883,0.0289860239589275,0.0350470621791214,0.03071265585526844,0.03257748621410909,0.00668570088981934
1968-05-03,0.032658300057045,0.0259555048488305,0.0315530519110096,0.0254920136908157,0.0246363377067883,0.0289860239589275,0.02918975633607686,0.03219243202129676,0.004017312632140147
1968-05-04,0.0296634341129492,0.032658300057045,0.0259555048488305,0.0315530519110096,0.0254920136908157,0.0246363377067883,0.028420666612337973,0.0320486309184255,0.003125397323576914
1968-05-06,0.0409654877353108,0.0296634341129492,0.032658300057045,0.0259555048488305,0.0315530519110096,0.0254920136908157,0.030132018580392727,0.032382582239969517,0.005703222477240663
1968-05-07,0.042783799201369,0.0409654877353108,0.0296634341129492,0.032658300057045,0.0259555048488305,0.0315530519110096,0.032724513079618545,0.033058803955124484,0.006806593987531691
1968-05-08,0.032907872219053,0.042783799201369,0.0409654877353108,0.0296634341129492,0.032658300057045,0.0259555048488305,0.0337839214407953,0.03308494961019199,0.0060255909931651455
1968-05-09,0.0357244723331431,0.032907872219053,0.042783799201369,0.0409654877353108,0.0296634341129492,0.032658300057045,0.03437983864395723,0.03338681308233498,0.005974244981825079
1968-05-11,0.0252780946948089,0.0357244723331431,0.032907872219053,0.042783799201369,0.0409654877353108,0.0296634341129492,0.034283065764811285,0.03312416809279325,0.006136725602338071
1968-05-12,0.0259911580148317,0.0252780946948089,0.0357244723331431,0.032907872219053,0.042783799201369,0.0409654877353108,0.03333061690163796,0.03277239018824866,0.0069007507487792745
1968-06-02,0.0241015402167712,0.0259911580148317,0.0252780946948089,0.0357244723331431,0.032907872219053,0.042783799201369,0.032536060630755384,0.03216034417189574,0.0076706209500597205
1968-06-03,0.0307330290929834,0.0241015402167712,0.0259911580148317,0.0252780946948089,0.0357244723331431,0.032907872219053,0.031074280824708613,0.032028427457691515,0.006711540242529954
1968-06-05,0.0378993154592127,0.0307330290929834,0.0241015402167712,0.0259911580148317,0.0252780946948089,0.0357244723331431,0.030376497432972,0.032318406541167466,0.005421079229559104
1968-06-06,0.0421420422133485,0.0378993154592127,0.0307330290929834,0.0241015402167712,0.0259911580148317,0.0252780946948089,0.031695664575014215,0.032925698802053566,0.007025754670138937
1968-06-08,0.0325513405590416,0.0421420422133485,0.0378993154592127,0.0307330290929834,0.0241015402167712,0.0259911580148317,0.03124236003585686,0.03287816124738538,0.006821899375186399
1968-06-09,0.0353679406731317,0.0325513405590416,0.0421420422133485,0.0378993154592127,0.0307330290929834,0.0241015402167712,0.03268376660418869,0.032960163529188,0.006404871203240963
1968-06-11,0.0256702795208214,0.0353679406731317,0.0325513405590416,0.0421420422133485,0.0378993154592127,0.0307330290929834,0.032637926819330074,0.03257629777524238,0.006461650113267323
